Busca do Corvo,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,
Arquivo,base\CLASS01_020_01.json,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,
Execucao,0,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempo Decorrido (segundos),0.0779807,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,
Porcentagem De Utilizacao,0.875857,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantidade de Recipientes,7,,,,,,,862,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busca do Corvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arquivo,base\CLASS01_020_02.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execucao,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempo Decorrido (segundos),0.0608488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porcentagem De Utilizacao,0.81658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantidade de Recipientes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busca do Corvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arquivo,base\CLASS01_020_03.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execucao,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempo Decorrido (segundos),0.105505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porcentagem De Utilizacao,0.880429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantidade de Recipientes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
