Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS01_020_07.json,0.0531694,0.843767,6,5
base\CLASS01_020_07.json,0.0534925,0.829267,6,6
base\CLASS01_020_07.json,0.0518004,0.835167,6,7
base\CLASS01_020_07.json,0.0544806,0.831067,6,8
base\CLASS01_020_07.json,0.0582971,0.818933,6,9
base\CLASS01_020_07.json,0.0572886,0.813233,6,10
base\CLASS01_020_07.json,0.0543338,0.843767,6,11
base\CLASS01_020_07.json,0.0604497,0.822233,6,12
base\CLASS01_020_07.json,0.0529036,0.814867,6,13
base\CLASS01_020_07.json,0.0523735,0.823667,6,14
base\CLASS01_020_07.json,0.0521518,0.825467,6,15
base\CLASS01_020_07.json,0.0567962,0.8139,6,16
base\CLASS01_020_07.json,0.0487161,0.839367,6,17
base\CLASS01_020_07.json,0.0540932,0.818633,6,18
base\CLASS01_020_07.json,0.0561003,0.818933,6,19
base\CLASS01_020_07.json,0.0546767,0.8182,6,20
base\CLASS01_020_07.json,0.0603446,0.841567,6,21
base\CLASS01_020_07.json,0.0545652,0.8189,6,22
base\CLASS01_020_07.json,0.0632641,0.819233,6,23
base\CLASS01_020_07.json,0.071999,0.819567,6,24
base\CLASS01_020_07.json,0.060066,0.829333,6,25
base\CLASS01_020_07.json,0.051183,0.8351,6,26
base\CLASS01_020_07.json,0.0618665,0.825433,6,27
base\CLASS01_020_07.json,0.0535244,0.823533,6,28
base\CLASS01_020_07.json,0.0553068,0.831033,6,29
base\CLASS01_020_09.json,0.0733219,0.817071,7,0
base\CLASS01_020_09.json,0.0640676,0.817186,7,1
base\CLASS01_020_09.json,0.0677664,0.8057,7,2
base\CLASS01_020_09.json,0.0681466,0.811043,7,3
base\CLASS01_020_09.json,0.0596367,0.8065,7,4
base\CLASS01_020_09.json,0.0587287,0.833929,7,5
base\CLASS01_020_09.json,0.0653432,0.824214,7,6
base\CLASS01_020_09.json,0.0613234,0.810557,7,7
base\CLASS01_020_09.json,0.0647933,0.811443,7,8
base\CLASS01_020_09.json,0.0643737,0.8327,7,9
base\CLASS01_020_09.json,0.0587362,0.837871,7,10
base\CLASS01_020_09.json,0.0629241,0.811929,7,11
base\CLASS01_020_09.json,0.0640285,0.840014,7,12
base\CLASS01_020_09.json,0.0624576,0.807786,7,13
base\CLASS01_020_09.json,0.0658165,0.837986,7,14
base\CLASS01_020_09.json,0.0669575,0.818071,7,15
base\CLASS01_020_09.json,0.0634846,0.833814,7,16
base\CLASS01_020_09.json,0.0607501,0.806957,7,17
base\CLASS01_020_09.json,0.0587475,0.812014,7,18
base\CLASS01_020_09.json,0.0635363,0.831986,7,19
base\CLASS01_020_09.json,0.0628098,0.8177,7,20
base\CLASS01_020_09.json,0.0609163,0.810729,7,21
base\CLASS01_020_09.json,0.0618544,0.840014,7,22
base\CLASS01_020_09.json,0.0627851,0.831929,7,23
base\CLASS01_020_09.json,0.0740713,0.811986,7,24
base\CLASS01_020_09.json,0.0622854,0.809071,7,25
base\CLASS01_020_09.json,0.0642719,0.811614,7,26
base\CLASS01_020_09.json,0.0705272,0.813729,7,27
base\CLASS01_020_09.json,0.0635868,0.813386,7,28
base\CLASS01_020_09.json,0.0576525,0.833929,7,29
base\CLASS01_060_01.json,1.04085,0.92751,21,0
base\CLASS01_060_01.json,0.957742,0.924643,21,1
base\CLASS01_060_01.json,0.910827,0.931662,21,2
base\CLASS01_060_01.json,1.04308,0.932319,21,3
base\CLASS01_060_01.json,1.14701,0.9249,21,4
base\CLASS01_060_01.json,0.963944,0.92171,21,5
base\CLASS01_060_01.json,1.04773,0.932138,21,6
base\CLASS01_060_01.json,1.05318,0.920824,21,7
base\CLASS01_060_01.json,1.00935,0.928586,21,8
base\CLASS01_060_01.json,0.97595,0.924329,21,9
base\CLASS01_060_01.json,0.956979,0.9267,21,10
base\CLASS01_060_01.json,0.946995,0.920452,21,11
base\CLASS01_060_01.json,0.992801,0.921224,21,12
base\CLASS01_060_01.json,0.983613,0.928338,21,13
base\CLASS01_060_01.json,1.02132,0.921748,21,14
base\CLASS01_060_01.json,0.972803,0.924662,21,15
base\CLASS01_060_01.json,0.987346,0.926795,21,16
