Instancia,Tempo(ms),UtilizacaoReal,UtilizacaoGardeynWauters,Recipientes,TamanhoDoBando,TamanhoDoVoo,IteracoesMaximas
MB_C10_05,1589,0.9503623805013264,0.9745265491452991,5,35,5,80
MB_C10_38,2583,0.9882784967198208,0.9941041393544442,11,35,5,80
MB_C10_37,5310,0.9889379417695006,0.9944356421671119,15,35,5,80
MB_C10_36,7814,0.9893443481879844,0.9946475920878084,14,35,5,80
MB_C10_35,11709,0.9882749430130514,0.99410233258967,15,35,5,80
MB_C10_34,9540,0.9867545187164235,0.9933173555141489,14,35,5,80
MB_C10_33,10046,0.9933419739888844,0.9966601491539132,12,35,5,80
MB_C10_32,10845,0.9929503432664457,0.9964625432588536,12,35,5,80
MB_C10_31,10190,0.9911238298177285,0.995540420694239,16,35,5,80
MB_C10_15,11803,0.9926340714667993,0.9963059021009313,9,35,5,80
MB_C10_14,6662,0.9877951447241288,0.9938732593308072,7,35,5,80
MB_C10_13,3685,0.9812111093199748,0.9905147315855183,9,35,5,80
MB_C10_12,5237,0.985812998102114,0.9928060676703195,8,35,5,80
MB_C10_07,583,0.9656853,0.9824999999999999,6,35,5,80
MB_C10_06,1608,0.9705104081529123,0.9850604818784895,5,35,5,80
MB_C10_03,2294,0.962227772775124,0.9807647170404309,5,35,5,80
MB_C8_35,9730,0.9521661621632843,0.9755562967927712,31,35,5,80
MB_C8_34,12912,0.9599424611389605,0.9793749474214589,22,35,5,80
MB_C8_33,27072,0.9633691741047018,0.9813281009761735,22,35,5,80
MB_C8_32,13053,0.9677599893966893,0.9836141691816792,23,35,5,80
MB_C8_25,9591,0.974306090788404,0.9870059127497391,16,35,5,80
MB_C8_24,10246,0.9690480596979505,0.9842885259297649,16,35,5,80
MB_C8_21,4201,0.9584080494479869,0.9786854022143061,18,35,5,80
MB_C7_48,17586,0.9505141744690387,0.9742849422703885,36,35,5,80
MB_C7_47,27990,0.9755642483876061,0.9876191561054567,28,35,5,80
MB_C7_42,18641,0.9667991409348814,0.9830534030760061,30,35,5,80
MB_C7_23,9788,0.9639199645055758,0.9816881168984806,18,35,5,80
MB_C7_22,5324,0.9738522484240005,0.9867262570653841,16,35,5,80
MB_C7_21,8177,0.9588890827950767,0.97902297179058,19,35,5,80
MB_C7_20,2821,0.9743605468931187,0.9870305976582157,15,35,5,80
MB_C7_19,3322,0.9667633219693705,0.983092741304536,11,35,5,80
MB_C7_18,3299,0.9507259167957224,0.9746471108842717,15,35,5,80
MB_C7_17,2796,0.9507979842081024,0.9746766079031971,11,35,5,80
MB_C7_16,4133,0.9706851195864726,0.9851346487883226,13,35,5,80
MB_C7_07,354,0.9869601127966345,0.9934456370861531,6,35,5,80
MB_C7_06,1301,0.9705758639279779,0.9850747368421053,9,35,5,80
MB_C7_05,1219,0.9840659891170821,0.991956634046152,7,35,5,80
MB_C7_04,2587,0.9756037304009681,0.9877105311355311,7,35,5,80
MB_C6_49,9230,0.9989936953950561,0.9994964753507137,6,35,5,80
MB_C6_48,9639,0.9985213768472535,0.9992600276166804,6,35,5,80
MB_C6_45,5265,0.9807345773613884,0.9901674352280203,5,35,5,80
MB_C9_42,2522,0.8666208435766314,0.9269013749507545,54,35,5,80
MB_C9_41,2731,0.8605146196140174,0.9226984843577115,56,35,5,80
MB_C9_40,2357,0.8507268573386582,0.918219009398268,52,35,5,80
MB_C9_39,4747,0.8921720972524915,0.9422189723267583,43,35,5,80
MB_C9_38,8278,0.893473543793223,0.9430750830046088,46,35,5,80
MB_C9_37,9349,0.8268109923362238,0.9046417152181304,49,35,5,80
MB_C9_36,7589,0.8503153019593536,0.917070245277942,48,35,5,80
MB_C9_35,21893,0.8302647818429914,0.9070982220996542,49,35,5,80
MB_C9_23,9125,0.8458788874506025,0.9171116625846845,39,35,5,80
MB_C9_22,9082,0.8863519102398617,0.9366244835019091,36,35,5,80
MB_C9_21,10094,0.8790477895360053,0.9344924673801323,35,35,5,80
MB_C9_20,5382,0.8416047864842742,0.9142579100695633,26,35,5,80
MB_C9_14,4953,0.8757059483976936,0.9335253924251715,23,35,5,80
MB_C9_13,3403,0.8877889568855221,0.9376988083565236,22,35,5,80
MB_C9_12,3268,0.8724149303774231,0.9317778862801747,25,35,5,80
MB_C3_39,13193,0.9638924147874833,0.9816228958536386,29,35,5,80
MB_C3_38,15844,0.9782465613318653,0.9889225817286162,21,35,5,80
MB_C3_31,12451,0.9769137324268011,0.9883354195596759,25,35,5,80
MB_C7_38,22475,0.9699749363025295,0.9847795426139865,23,35,5,80
MB_C7_37,13597,0.9405237513910994,0.9695784947627608,27,35,5,80
MB_C7_35,12620,0.9565988546272092,0.9776697730541634,27,35,5,80
MB_C7_19,3295,0.9755160217305343,0.9875921603574721,12,35,5,80
MB_C7_18,8014,0.9525067985867955,0.9757596291112324,14,35,5,80
MB_C7_17,9101,0.9679530416865212,0.9835648012646793,13,35,5,80
MB_C7_16,9823,0.9716208216632544,0.9855735911714129,13,35,5,80
MB_C7_07,4042,0.9847396727530924,0.9923337143332828,6,35,5,80
MB_C7_06,2877,0.97460266737273,0.9871028070175438,7,35,5,80
MB_C7_05,3231,0.9852919681628801,0.992597789054005,7,35,5,80
MB_C3_49,5401,0.9827641935524513,0.9913125711134333,27,35,5,80
MB_C3_48,5828,0.9794797938909895,0.9896231408641801,28,35,5,80
MB_C3_47,18772,0.9784283170545283,0.9890697157593344,24,35,5,80
MB_C3_46,27955,0.9709609609898481,0.9852750396938993,29,35,5,80
MB_C2_41,17395,0.9981117253778512,0.9990546737213404,4,35,5,80
MB_C2_40,14802,0.9969250048447956,0.9984600389863548,4,35,5,80
MB_C2_37,10088,0.9984779379550259,0.9992372234935164,3,35,5,80
MB_C7_50,5776,0.9551088723810056,0.9768778641442208,36,35,5,80
MB_C7_49,12113,0.9722074607119718,0.9858417876543764,27,35,5,80
MB_C7_48,15839,0.948961974692281,0.9738258644548918,33,35,5,80
MB_C7_47,21084,0.9703953175546881,0.9849681430565795,30,35,5,80
MB_C7_07,6265,0.9762915767999729,0.9880592458956318,6,35,5,80
MB_C7_06,3115,0.9728135549861495,0.9862915789473684,7,35,5,80
MB_C7_05,1064,0.9581296111210399,0.9787026351807687,6,35,5,80
MB_C9_07,5241,0.9588831854611825,0.9791797521774266,8,35,5,80
MB_C9_06,999,0.7787099240105879,0.8763295671841409,14,35,5,80
MB_C9_05,1817,0.7763988093959326,0.8751537121136745,13,35,5,80
MB_C9_04,2069,0.8983152169358699,0.9461974737613574,13,35,5,80
MB_C10_49,19989,0.9882437568069372,0.9940661226180452,18,35,5,80
MB_C10_48,15285,0.9898597155388391,0.9948897494436981,19,35,5,80
MB_C10_43,13945,0.9928994548031417,0.9964371781021254,18,35,5,80
MB_C3_23,8498,0.9642197469526266,0.9817042990698596,18,35,5,80
MB_C3_22,9441,0.9818714613447551,0.9908606263018028,15,35,5,80
MB_C3_21,4097,0.9738156635650541,0.986746293422858,15,35,5,80
MB_C3_20,3264,0.9735523019952083,0.9866002022568381,10,35,5,80
MB_C3_11,2103,0.9874819024254192,0.9937044249544249,8,35,5,80
MB_C3_10,1751,0.967975148096195,0.9838237822612822,7,35,5,80
MB_C3_09,660,0.9730939030621087,0.9863631563736606,8,35,5,80
MB_C3_08,323,0.9933469004349,0.9966662449392711,5,35,5,80
MB_C2_24,4280,0.9834083102493075,0.991578947368421,5,35,5,80
MB_C2_23,4444,0.9926828254847646,0.9963157894736842,4,35,5,80
MB_C10_50,13792,0.9854588287730873,0.99267927946297,19,35,5,80
MB_C2_32,9843,0.9945211249685059,0.9972539682539683,6,35,5,80
MB_C2_31,4952,0.9605422549449593,0.9792945326278659,5,35,5,80
MB_C2_30,3010,0.9911511479591837,0.9955357142857143,4,35,5,80
MB_C2_29,5148,0.9985201646090536,0.9992592592592593,3,35,5,80
MB_C2_28,4092,0.9948349794238682,0.9974074074074074,5,35,5,80
MB_C2_27,3625,0.9690098261526833,0.9841269841269842,3,35,5,80
MB_C2_26,4372,0.9931037808641976,0.9965277777777778,3,35,5,80
MB_C2_25,3989,0.999259670781893,0.9996296296296295,4,35,5,80
MB_C2_24,3819,0.9834415512465374,0.9915789473684211,4,35,5,80
MB_C2_23,3654,0.9925523408912145,0.9962573099415204,3,35,5,80
MB_C2_22,2267,0.9798027613412229,0.9897435897435898,3,35,5,80
MB_C2_21,4826,0.9955692729766804,0.9977777777777778,4,35,5,80
MB_C2_20,1023,0.8527555569552925,0.919973544973545,2,35,5,80
MB_C2_13,2060,0.9889506172839506,0.9944444444444445,4,35,5,80
MB_C2_12,1515,0.981738683127572,0.9907407407407408,2,35,5,80
MB_C2_11,590,0.9889197530864198,0.9944444444444445,1,35,5,80
MB_C2_10,103,0.8388033293697978,0.9158620689655173,1,35,5,80
MB_C2_09,124,0.536628730961,0.6353305785123967,1,35,5,80
MB_C2_08,319,0.9767449813617866,0.9883040935672515,1,35,5,80
MB_C2_07,40,0.8496030245746692,0.9217391304347826,1,35,5,80
MB_C2_06,174,0.9095963005829903,0.9525462962962963,1,35,5,80
MB_C2_05,85,0.7862058518005539,0.8782894736842105,1,35,5,80
MB_C2_04,233,0.9088702278141444,0.9533468559837728,1,35,5,80
MB_C2_03,48,0.8622448979591837,0.9285714285714286,1,35,5,80
MB_C2_02,116,0.6175506668291606,0.7858439201451906,1,35,5,80
MB_C2_01,79,0.6730103806228374,0.7941176470588236,1,35,5,80
MB_C1_50,6613,0.9639049365692224,0.9815057915057915,39,35,5,80
MB_C1_44,8528,0.9743811035525323,0.9868686868686868,33,35,5,80
MB_C10_42,7972,0.9926316582608613,0.9963012494705994,19,35,5,80
MB_C10_41,14418,0.9921875974695973,0.9960824885626111,18,35,5,80
MB_C10_40,7289,0.9883613301572707,0.994140379214573,15,35,5,80
MB_C10_39,11745,0.9888283251212716,0.9943812712749089,17,35,5,80
MB_C10_23,7434,0.9872823219490211,0.9936071212384054,12,35,5,80
MB_C10_22,13501,0.9855407969282844,0.9927258318274101,13,35,5,80
MB_C10_21,10547,0.9883361730217919,0.994142473479887,11,35,5,80
MB_C10_20,1946,0.9848695980443263,0.992381921169634,11,35,5,80
MB_C10_19,2701,0.9898972071567429,0.9949167019761848,9,35,5,80
MB_C10_18,1283,0.9891155317447249,0.9945148948471075,8,35,5,80
MB_C10_17,1102,0.9868965040694724,0.9933660299003323,8,35,5,80
MB_C10_16,953,0.9858512045308073,0.9928696948918505,6,35,5,80
MB_C10_09,878,0.9453930298022094,0.9716440537513998,6,35,5,80
MB_C10_08,210,0.9872896020938619,0.9935950229610816,5,35,5,80
MB_C10_07,2084,0.965821855,0.9825,6,35,5,80
MB_C10_06,498,0.9657315411031486,0.9826315707114652,5,35,5,80
MB_C10_05,409,0.952410912643603,0.9754658653846154,4,35,5,80
MB_C10_04,163,0.9761762597743348,0.9879738229817511,5,35,5,80
MB_C10_03,299,0.9734978787608606,0.986628389189909,5,35,5,80
MB_C9_38,4262,0.8765330796600451,0.9343755939454143,49,35,5,80
MB_C9_37,9693,0.8137210567848139,0.8973020686351553,50,35,5,80
MB_C9_36,11602,0.84286072170385,0.9130559185232944,47,35,5,80
MB_C9_35,21851,0.8305230883100464,0.9064854156655657,49,35,5,80
MB_C8_08,3926,0.9272873926464812,0.9625486536201064,6,35,5,80
MB_C8_07,1066,0.9691384856432285,0.984291598954621,6,35,5,80
MB_C5_05,2072,0.9678298892299374,0.983751948810683,6,35,5,80
MB_C8_16,5073,0.9755126318283311,0.9876395275368642,13,35,5,80
MB_C8_15,3433,0.9750017587637078,0.9873724834998625,11,35,5,80
MB_C8_14,8221,0.9360209545705916,0.9668560625085668,12,35,5,80
MB_C8_13,7750,0.9582910125798011,0.9786050510232923,16,35,5,80
MB_C6_46,15296,0.9972003117203859,0.9985972361011262,5,35,5,80
MB_C6_45,15471,0.9808724075915591,0.9902143457980896,5,35,5,80
MB_C6_44,7719,0.9974710142303278,0.9987333703097215,5,35,5,80
MB_C4_39,3046,0.9978755119324558,0.9989363636363636,5,35,5,80
MB_C4_38,2530,0.9960340619407354,0.9980124276963139,5,35,5,80
MB_C4_37,10662,0.9959798483026165,0.9979839762077783,5,35,5,80
MB_C4_36,11024,0.986826414995974,0.9933361270264677,4,35,5,80
MB_C4_35,19232,0.9883425124412991,0.9941093207290125,4,35,5,80
MB_C4_34,14786,0.998854535524876,0.9994267849289753,5,35,5,80
MB_C4_33,11541,0.9923688545005032,0.9961601271343918,4,35,5,80
MB_C4_32,6417,0.9982020966666667,0.9991,4,35,5,80
MB_C4_22,7870,0.9940549940022191,0.9970155824960297,5,35,5,80
MB_C4_21,6533,0.9986462244011575,0.9993228411506913,5,35,5,80
MB_C4_20,769,0.9819208371806709,0.9908771929824561,2,35,5,80
MB_C4_19,3625,0.9226066597294484,0.9596774193548387,2,35,5,80
MB_C4_18,1088,0.9912387101958947,0.9956025820766272,5,35,5,80
MB_C4_17,1207,0.9733694558703567,0.9865025466893039,3,35,5,80
MB_C4_16,594,0.7568997290012764,0.8583990297149788,3,35,5,80
MB_C4_05,495,0.750929716168559,0.8665620094191523,1,35,5,80
MB_C4_04,49,0.8838848714416897,0.9401515151515152,1,35,5,80
MB_C4_03,564,0.9028198936616446,0.9501683501683502,1,35,5,80
MB_C4_02,41,0.7450227400348923,0.8631469979296066,1,35,5,80
MB_C4_01,123,0.7148638409057918,0.8278313253012048,1,35,5,80
MB_C3_50,20015,0.9654380481763046,0.9820971441820222,33,35,5,80
MB_C3_49,12193,0.9811506080655704,0.9904752264019505,23,35,5,80
MB_C3_48,10310,0.9741347316472382,0.9868589116387292,27,35,5,80
MB_C3_06,1520,0.9690907698225416,0.9843321192814436,6,35,5,80
MB_C3_05,657,0.9845443359375,0.9921875,6,35,5,80
MB_C3_04,2404,0.9768005993835175,0.9882814584771106,8,35,5,80
MB_C3_03,885,0.9717684030939271,0.9857110215053764,6,35,5,80
MB_C1_49,11945,0.9789359383505165,0.9893230490849537,36,35,5,80
MB_C1_48,14503,0.9745883703481394,0.9871218487394955,34,35,5,80
MB_C1_43,11846,0.9858857142857145,0.9928571428571428,30,35,5,80
MB_C9_02,1161,0.9024742512499999,0.9485375000000001,10,35,5,80
MB_C9_01,1025,0.7948331420219363,0.8890400251724007,14,35,5,80
MB_C8_50,11928,0.9575323565268651,0.9782831358649262,34,35,5,80
MB_C8_49,22364,0.9750351776093568,0.987387708875212,29,35,5,80
MB_C1_50,15467,0.9626652121374866,0.9808834586466162,39,35,5,80
MB_C1_49,26753,0.9791373213568932,0.9893771134184668,34,35,5,80
MB_C1_44,9565,0.9728695448655654,0.98612925170068,33,35,5,80
MB_C8_32,13172,0.9738331403579934,0.9866271219481859,25,35,5,80
MB_C8_31,17019,0.9737271529275432,0.9867329037642087,23,35,5,80
MB_C8_30,13556,0.9659701158435551,0.9825856606688147,19,35,5,80
MB_C8_29,13345,0.958850297241473,0.9788914725555612,20,35,5,80
MB_C8_25,9161,0.9722604672573888,0.9859952637373104,15,35,5,80
MB_C8_24,6792,0.9657876172501069,0.9825933998571923,15,35,5,80
MB_C8_20,7914,0.9570227388100014,0.9777819805234175,13,35,5,80
MB_C5_23,32643,0.9691086767600731,0.9842970900237236,18,35,5,80
MB_C5_22,21623,0.9736450258541617,0.9864892275346657,17,35,5,80
MB_C5_21,13410,0.9498854675990243,0.9742822248349254,20,35,5,80
MB_C5_20,3985,0.9515308648311586,0.973900081092155,15,35,5,80
MB_C5_12,4499,0.9808377055555554,0.9903444444444445,10,35,5,80
MB_C5_11,4997,0.979826109946896,0.9898319759017767,10,35,5,80
MB_C5_06,2594,0.9501908507395458,0.9744857645748769,7,35,5,80
MB_C10_01,404,0.9135818722886184,0.9530406730372887,6,35,5,80
MB_C9_50,4908,0.845153646741105,0.9164010012208983,58,35,5,80
MB_C9_49,8911,0.8705950174424424,0.9299114094392189,51,35,5,80
MB_C9_48,16060,0.8539533814680338,0.9191915685302898,60,35,5,80
MB_C9_47,17302,0.8957120023374765,0.9442665717503065,52,35,5,80
MB_C6_28,5407,0.9813847463760775,0.9905605699050432,3,35,5,80
MB_C6_27,7178,0.9982837524363004,0.9991411629245827,4,35,5,80
MB_C6_26,3697,0.9563437497311702,0.9776738411643727,2,35,5,80
MB_C6_25,3023,0.8992108370987655,0.9467722222222222,3,35,5,80
MB_C6_24,6650,0.9677633526182075,0.9833518498380939,4,35,5,80
MB_C6_23,4990,0.9952678789778832,0.997625694182541,5,35,5,80
MB_C6_22,3854,0.9830924122383857,0.9914474897673423,3,35,5,80
MB_C6_21,3109,0.9971845704537259,0.998590347682835,4,35,5,80
MB_C6_12,1153,0.9807821186419754,0.9903444444444445,1,35,5,80
MB_C6_11,855,0.5966532544444444,0.7724333333333333,1,35,5,80
MB_C6_10,237,0.771965347855394,0.8786155859392627,1,35,5,80
MB_C6_09,474,0.881403036758339,0.9367059785258314,1,35,5,80
MB_C6_06,134,0.6005196480980564,0.7244824265767935,1,35,5,80
MB_C6_05,165,0.742962748768767,0.8544417884713351,1,35,5,80
MB_C5_47,12725,0.9774891446123104,0.988630314047893,27,35,5,80
MB_C3_45,7547,0.965602786990274,0.9824154258098222,29,35,5,80
