Instancia,Tempo(ms),Utilizacao,Recipientes,TamanhoDoBando,TamanhoDoVoo,IteracoesMaximas
CLASS10_060_02,9189,0.9815904872727274,12,35,5,80
CLASS10_060_01,11297,0.9150236109090908,12,35,5,80
CLASS10_040_10,6378,0.8735231875000001,8,35,5,80
CLASS10_040_09,4878,0.9394063585714287,7,35,5,80
CLASS10_040_08,3250,0.8537503142857142,7,35,5,80
CLASS10_040_07,7793,0.8544775428571428,7,35,5,80
CLASS10_040_06,4621,0.985035398,6,35,5,80
CLASS10_040_05,2979,0.8311194533333334,6,35,5,80
CLASS10_020_09,1519,0.825102964,5,35,5,80
CLASS10_020_08,482,0.94311698,3,35,5,80
CLASS10_020_07,1559,0.966100915,5,35,5,80
CLASS10_020_06,2707,0.7426092725,4,35,5,80
CLASS10_020_05,288,0.755590855,4,35,5,80
CLASS10_020_04,257,0.7863686925,4,35,5,80
CLASS10_020_02,1234,0.7090698433333333,3,35,5,80
CLASS09_080_03,10905,0.8651221781578946,39,35,5,80
CLASS09_080_02,38435,0.9036991942105262,42,35,5,80
CLASS09_080_01,9898,0.9039277805405408,39,35,5,80
CLASS07_080_06,15311,0.9380480845000001,20,35,5,80
CLASS07_080_05,25682,0.9672908360000003,21,35,5,80
CLASS07_060_10,7548,0.924712634117647,18,35,5,80
CLASS09_100_03,3340,0.9093235311363635,46,35,5,80
CLASS09_100_02,13856,0.8888631004347826,49,35,5,80
CLASS09_100_01,8487,0.7905788767307695,55,35,5,80
CLASS09_080_10,20974,0.8368310869767442,46,35,5,80
CLASS02_100_02,17768,0.785679012345679,4,35,5,80
CLASS02_100_01,14877,0.7503361111111111,4,35,5,80
CLASS02_080_04,8010,0.8341744855967078,3,35,5,80
CLASS05_020_03,965,0.874422645,7,35,5,80
CLASS05_020_02,762,0.7627510925000001,4,35,5,80
CLASS05_020_01,1904,0.8494847766666668,6,35,5,80
CLASS04_100_10,10429,0.87916836,4,35,5,80
CLASS04_100_09,14827,0.7555475275,4,35,5,80
CLASS04_100_08,8405,0.779276565,4,35,5,80
CLASS04_100_07,11777,0.96402675,4,35,5,80
CLASS04_100_06,7056,0.8642616125,4,35,5,80
CLASS04_080_01,9487,0.7270734966666667,3,35,5,80
CLASS04_060_10,1241,0.7028347866666667,3,35,5,80
CLASS04_060_09,2371,0.862185605,2,35,5,80
CLASS04_060_08,1562,0.6671598033333335,3,35,5,80
CLASS04_060_01,1815,0.67485163,3,35,5,80
CLASS04_040_10,465,0.50293378,2,35,5,80
CLASS04_040_05,978,0.63015202,2,35,5,80
CLASS01_060_01,23244,0.9352428571428572,21,35,5,80
CLASS01_040_10,13200,0.9076181818181817,12,35,5,80
CLASS01_040_06,6922,0.9409,12,35,5,80
CLASS08_080_05,10531,0.9290289360869565,23,35,5,80
CLASS08_080_04,15821,0.9356881494444447,18,35,5,80
CLASS08_080_03,11323,0.9411270033333334,18,35,5,80
CLASS08_080_02,11416,0.9480443810000001,20,35,5,80
CLASS08_060_04,8947,0.9327969869230769,13,35,5,80
CLASS08_060_03,8831,0.9178661353333334,15,35,5,80
CLASS08_040_10,5773,0.9276000654545455,11,35,5,80
CLASS09_020_04,5940,0.811102851,10,35,5,80
CLASS08_100_09,27640,0.9582742616666664,25,35,5,80
CLASS01_100_07,20843,0.9633749999999999,28,35,5,80
CLASS01_100_06,10165,0.9498914285714288,36,35,5,80
CLASS01_100_03,10694,0.9777333333333333,28,35,5,80
CLASS07_020_01,2230,0.8257763459999999,5,35,5,80
CLASS06_100_10,6655,0.7656139144753087,4,35,5,80
CLASS06_100_09,9098,0.8632331274485597,3,35,5,80
CLASS06_100_08,9280,0.949330633909465,3,35,5,80
CLASS06_100_02,7000,0.9418506430452677,3,35,5,80
CLASS06_100_01,4590,0.752485029835391,3,35,5,80
CLASS06_080_08,6258,0.7642316152263375,3,35,5,80
CLASS04_020_08,445,0.26615281,1,35,5,80
CLASS04_020_07,438,0.29669808999999997,1,35,5,80
CLASS03_100_06,14918,0.9431156738281251,24,35,5,80
CLASS08_080_02,24776,0.949258414,22,35,5,80
CLASS08_080_01,17056,0.9440875347368423,19,35,5,80
CLASS08_060_04,11633,0.9328858330769231,13,35,5,80
CLASS07_060_08,8762,0.9448024193333334,15,35,5,80
CLASS07_060_07,6223,0.9309109699999999,13,35,5,80
CLASS07_060_06,21095,0.9130176376923078,13,35,5,80
CLASS06_060_08,6025,0.8119534519135803,2,35,5,80
CLASS06_060_07,5076,0.573843245,2,35,5,80
CLASS05_100_08,25121,0.9578414592592592,29,35,5,80
CLASS02_060_06,1347,0.8556055555555556,2,35,5,80
CLASS02_060_05,3722,0.846296913580247,2,35,5,80
CLASS02_060_04,3426,0.6668843621399176,3,35,5,80
CLASS02_060_03,11979,0.666785596707819,3,35,5,80
CLASS02_060_02,3235,0.9629358024691358,2,35,5,80
CLASS02_060_01,17320,0.6843,3,35,5,80
CLASS02_040_10,2436,0.5098,2,35,5,80
CLASS02_040_09,6230,0.5072,2,35,5,80
CLASS02_020_08,141,0.3173444444444445,1,35,5,80
CLASS02_020_07,1332,0.34679012345679017,1,35,5,80
CLASS02_020_06,1005,0.6687604938271605,1,35,5,80
CLASS02_020_05,4258,0.3520444444444445,1,35,5,80
CLASS02_020_04,230,0.2727160493827161,1,35,5,80
CLASS02_020_03,47,0.5216049382716049,1,35,5,80
CLASS02_020_02,965,0.2314679012345679,1,35,5,80
CLASS01_100_01,5998,0.9605821428571428,28,35,5,80
CLASS01_080_10,5088,0.9540000000000001,25,35,5,80
CLASS01_080_09,17920,0.9404931034482757,30,35,5,80
CLASS01_080_08,10412,0.9614962962962964,29,35,5,80
CLASS10_100_09,11416,0.9355556856249999,16,35,5,80
CLASS10_100_08,8733,0.9405469061111111,18,35,5,80
CLASS10_100_03,10563,0.9916327779999998,15,35,5,80
CLASS03_040_09,8424,0.9247879464285714,8,35,5,80
CLASS03_040_08,6114,0.9878471875000001,11,35,5,80
CLASS03_040_07,6316,0.8797006347656251,8,35,5,80
CLASS03_040_06,16458,0.9921989955357143,8,35,5,80
CLASS02_040_08,2444,0.6894543209876542,2,35,5,80
CLASS02_040_07,3299,0.5186888888888889,2,35,5,80
CLASS01_100_09,17721,0.9907333333333334,31,35,5,80
CLASS03_100_03,4185,0.9655916232638889,19,35,5,80
CLASS03_100_02,5815,0.9791943452380953,22,35,5,80
CLASS03_100_01,12137,0.9373677837171054,19,35,5,80
CLASS03_080_10,25125,0.938465234375,17,35,5,80
CLASS03_060_08,12326,0.9686723257211537,14,35,5,80
CLASS03_060_07,12348,0.9921967578125,11,35,5,80
CLASS03_060_04,6314,0.9238987079326925,13,35,5,80
CLASS03_100_07,2670,0.952120744243421,19,35,5,80
CLASS03_100_06,13130,0.9435688639322914,24,35,5,80
CLASS03_100_05,22722,0.9460031808035713,21,35,5,80
CLASS03_100_04,14038,0.9424081445312501,20,35,5,80
CLASS02_080_07,18646,0.9710288065843621,4,35,5,80
CLASS02_080_06,11334,0.8805930041152262,3,35,5,80
CLASS02_080_04,4120,0.8341744855967078,3,35,5,80
CLASS10_080_08,1602,0.912311449,10,35,5,80
CLASS10_080_07,1931,0.9345960621428572,14,35,5,80
CLASS10_080_06,1811,0.9232125453846154,13,35,5,80
CLASS10_080_05,3445,0.9621033023076924,14,35,5,80
CLASS10_080_04,2225,0.9909226676923075,14,35,5,80
CLASS10_080_03,8498,0.9079803081818181,11,35,5,80
CLASS10_080_02,22386,0.9606237680000002,10,35,5,80
CLASS10_080_01,17827,0.9617559808333334,12,35,5,80
CLASS10_040_05,4653,0.8320479766666667,6,35,5,80
CLASS10_040_04,2836,0.8712582866666666,6,35,5,80
CLASS10_040_03,7260,0.99116102375,9,35,5,80
CLASS10_040_02,3421,0.9078183585714285,7,35,5,80
CLASS10_020_05,1461,0.7555908250000001,5,35,5,80
CLASS10_020_04,765,0.7877019175,4,35,5,80
CLASS10_020_02,948,0.7089418833333334,3,35,5,80
CLASS05_100_04,21730,0.9467893771999999,25,35,5,80
CLASS05_100_03,8825,0.9512026465217392,24,35,5,80
CLASS04_100_07,12650,0.96402675,3,35,5,80
CLASS07_080_08,28984,0.9298572404999998,21,35,5,80
CLASS07_080_07,13704,0.9661046795238096,22,35,5,80
CLASS07_060_10,12052,0.9251018623529412,18,35,5,80
CLASS08_080_04,17920,0.9367241261111112,18,35,5,80
CLASS08_080_03,11736,0.9406962366666668,18,35,5,80
CLASS08_080_02,7593,0.9472855029999998,21,35,5,80
CLASS05_100_06,26960,0.9442016476666666,31,35,5,80
CLASS04_040_01,335,0.8042502400000001,1,35,5,80
CLASS04_020_10,35,0.54730404,1,35,5,80
CLASS02_100_03,18983,0.9767176954732509,3,35,5,80
CLASS03_060_03,13333,0.9212635817307693,14,35,5,80
CLASS09_080_05,19674,0.8250353425581398,47,35,5,80
CLASS06_060_08,2706,0.8119534519135803,2,35,5,80
CLASS06_060_07,6904,0.573843245,2,35,5,80
CLASS06_060_06,18242,0.6461422005555555,2,35,5,80
CLASS06_060_05,17320,0.6343404815432099,2,35,5,80
CLASS06_020_10,63,0.4212442677777778,1,35,5,80
CLASS06_020_09,5731,0.3437737482716049,1,35,5,80
CLASS05_100_09,10090,0.947172572692308,26,35,5,80
CLASS03_080_03,22393,0.95129111328125,16,35,5,80
CLASS03_080_02,10793,0.9880362060546874,17,35,5,80
CLASS03_060_05,13619,0.9787190696022726,12,35,5,80
CLASS09_020_06,1560,0.6012932884615385,13,35,5,80
CLASS09_020_05,246,0.6100089969230769,14,35,5,80
CLASS09_020_04,1191,0.8237159789999999,10,35,5,80
CLASS09_020_03,1493,0.8579777249999999,11,35,5,80
CLASS09_020_02,356,0.9024150662499999,9,35,5,80
CLASS09_020_01,550,0.6590545357142857,14,35,5,80
CLASS08_100_10,9727,0.9571099832142859,30,35,5,80
CLASS08_100_09,18175,0.958115296666667,26,35,5,80
CLASS04_020_05,3449,0.30470400000000003,1,35,5,80
CLASS04_020_04,3451,0.24641296000000001,1,35,5,80
CLASS04_020_03,86,0.49773025000000004,1,35,5,80
CLASS04_020_02,4811,0.17380561,1,35,5,80
CLASS01_100_08,11894,0.9592906250000001,33,35,5,80
CLASS01_100_07,12101,0.963375,28,35,5,80
CLASS01_100_03,5731,0.9780148148148149,28,35,5,80
CLASS06_060_06,3535,0.6461422005555555,2,35,5,80
CLASS06_060_05,3220,0.6343404815432099,2,35,5,80
CLASS06_060_04,10863,0.7601608888888889,2,35,5,80
CLASS06_060_03,3619,0.758240888888889,2,35,5,80
CLASS06_020_01,24,0.35614371604938266,1,35,5,80
CLASS05_100_10,10623,0.9556742616666669,31,35,5,80
CLASS05_100_09,7666,0.9465239211538461,28,35,5,80
CLASS10_080_01,20163,0.9612233408333334,12,35,5,80
CLASS07_040_04,4436,0.9025189708333334,13,35,5,80
CLASS07_040_03,6526,0.8938776633333334,9,35,5,80
CLASS07_040_02,15438,0.9077910581818184,11,35,5,80
CLASS07_040_01,9104,0.8967904822222221,9,35,5,80
CLASS07_020_03,3422,0.9645693225,5,35,5,80
CLASS07_020_02,491,0.909541745,4,35,5,80
CLASS06_100_07,9917,0.7742679216872429,3,35,5,80
CLASS08_100_05,3651,0.9454649012000002,26,35,5,80
CLASS08_100_04,6213,0.960219308076923,27,35,5,80
CLASS08_100_03,14099,0.9675703252380954,22,35,5,80
CLASS08_100_02,16521,0.9865910256521739,25,35,5,80
CLASS06_100_02,18458,0.9418513199999999,3,35,5,80
CLASS06_100_01,14636,0.7524813812757202,3,35,5,80
CLASS06_080_09,4515,0.7891610535390946,3,35,5,80
CLASS06_080_07,6561,0.7596789141563786,3,35,5,80
CLASS06_080_06,8229,0.7191442016460905,3,35,5,80
CLASS06_080_05,4934,0.6774710030452674,3,35,5,80
CLASS06_080_04,18037,0.6913333376131687,3,35,5,80
CLASS06_080_03,9319,0.6761286944032922,3,35,5,80
CLASS06_040_02,4828,0.9807821186419754,1,35,5,80
CLASS06_040_01,430,0.5966532544444444,1,35,5,80
CLASS06_020_10,558,0.4212442677777778,1,35,5,80
CLASS06_020_09,371,0.3437737482716049,1,35,5,80
CLASS06_020_05,392,0.2347833186419753,1,35,5,80
CLASS06_020_04,1971,0.18671041,1,35,5,80
CLASS05_100_09,9294,0.9450080473076924,26,35,5,80
CLASS10_080_04,1235,0.9909155138461538,14,35,5,80
CLASS10_080_03,7863,0.9080284790909091,11,35,5,80
CLASS10_080_02,26901,0.960569568,10,35,5,80
CLASS10_080_01,21324,0.9614616575,12,35,5,80
CLASS10_060_02,11823,0.9817359290909091,12,35,5,80
CLASS10_060_01,9128,0.91495594,11,35,5,80
CLASS10_040_02,4013,0.9077597242857143,8,35,5,80
CLASS01_100_01,21909,0.959925,28,35,5,80
CLASS01_040_08,5510,0.9430933333333333,17,35,5,80
CLASS01_040_07,5885,0.9584181818181818,11,35,5,80
CLASS01_040_06,2649,0.9396636363636365,11,35,5,80
CLASS01_040_05,5525,0.9674714285714285,16,35,5,80
CLASS01_020_09,1523,0.8532714285714286,8,35,5,80
CLASS01_020_08,948,0.8250833333333333,6,35,5,80
CLASS01_020_02,1815,0.8217800000000001,5,35,5,80
CLASS07_060_03,6756,0.920356686,15,35,5,80
CLASS07_060_02,14548,0.9292526176923077,13,35,5,80
CLASS07_060_01,18240,0.9586628380000001,16,35,5,80
CLASS07_040_10,4651,0.8993830481818182,11,35,5,80
CLASS06_100_02,13619,0.9418513199999999,3,35,5,80
CLASS06_100_01,10539,0.7524886785596708,3,35,5,80
CLASS06_080_09,6417,0.7891639704115226,3,35,5,80
CLASS02_040_05,16785,0.6398617283950617,2,35,5,80
CLASS02_040_04,3419,0.5743265432098765,2,35,5,80
CLASS02_040_03,2480,0.6482098765432098,2,35,5,80
CLASS02_040_02,1548,0.5178395061728395,2,35,5,80
CLASS02_040_01,2126,0.9889197530864198,1,35,5,80
CLASS02_020_10,2521,0.544316049382716,1,35,5,80
CLASS02_020_09,39,0.46694444444444444,1,35,5,80
CLASS02_020_08,334,0.3173444444444445,1,35,5,80
CLASS02_020_07,142,0.34679012345679017,1,35,5,80
CLASS02_020_06,46,0.6687604938271605,1,35,5,80
CLASS02_020_05,73,0.3520444444444445,1,35,5,80
CLASS02_020_04,59,0.2727160493827161,1,35,5,80
CLASS02_020_03,542,0.5216049382716049,1,35,5,80
CLASS02_020_02,24,0.2314679012345679,1,35,5,80
CLASS01_100_05,9597,0.9551774193548387,32,35,5,80
CLASS07_100_07,9739,0.9840583339130435,24,35,5,80
CLASS07_100_06,14430,0.9337810092307692,26,35,5,80
CLASS07_080_07,17993,0.9659412176190475,22,35,5,80
CLASS09_080_05,1415,0.8241410072093021,44,35,5,80
CLASS09_080_04,17411,0.8849600000000001,40,35,5,80
CLASS09_080_03,10265,0.8659990060526318,40,35,5,80
CLASS09_080_02,19904,0.903162582631579,40,35,5,80
CLASS09_060_06,8096,0.8805657546153848,28,35,5,80
CLASS09_060_05,8165,0.9114626723076923,28,35,5,80
CLASS09_040_08,4214,0.8200591865,22,35,5,80
CLASS04_040_04,9247,0.55043488,2,35,5,80
CLASS04_040_03,4982,0.60251392,2,35,5,80
