Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS01_020_07.json,0.158075,0.8025,6,8
base\CLASS01_020_07.json,0.0702453,0.791233,6,9
base\CLASS01_020_07.json,0.218362,0.793067,6,10
base\CLASS01_020_07.json,0.0593288,0.790867,6,11
base\CLASS01_020_07.json,0.0836437,0.791,6,12
base\CLASS01_020_07.json,0.0783911,0.797667,6,13
base\CLASS01_020_07.json,0.0971558,0.791667,6,14
base\CLASS01_020_07.json,0.104133,0.792833,6,15
base\CLASS01_020_07.json,0.0685088,0.7914,6,16
base\CLASS01_020_07.json,0.0963831,0.792767,6,17
base\CLASS01_020_07.json,0.129653,0.792767,6,18
base\CLASS01_020_07.json,0.0910235,0.791567,6,19
base\CLASS01_020_07.json,0.0744603,0.796133,6,20
base\CLASS01_020_07.json,0.0787035,0.797667,6,21
base\CLASS01_020_07.json,0.211269,0.794,6,22
base\CLASS01_020_07.json,0.0950141,0.794767,6,23
base\CLASS01_020_07.json,0.128582,0.7897,6,24
base\CLASS01_020_07.json,0.0905031,0.789567,6,25
base\CLASS01_020_07.json,0.0874465,0.791733,6,26
base\CLASS01_020_07.json,0.0799444,0.789233,6,27
base\CLASS01_020_07.json,0.104562,0.791,6,28
base\CLASS01_020_07.json,0.0751283,0.786567,6,29
base\CLASS01_020_09.json,0.152957,0.634738,8,0
base\CLASS01_020_09.json,0.150065,0.653438,8,1
base\CLASS01_020_09.json,0.152133,0.621438,8,2
base\CLASS01_020_09.json,0.111109,0.625488,8,3
base\CLASS01_020_09.json,0.0865652,0.618113,8,4
base\CLASS01_020_09.json,0.19422,0.631438,8,5
base\CLASS01_020_09.json,0.0889435,0.631313,8,6
base\CLASS01_020_09.json,0.116756,0.630588,8,7
base\CLASS01_020_09.json,0.183355,0.627637,8,8
base\CLASS01_020_09.json,0.112013,0.630038,8,9
base\CLASS01_020_09.json,0.284399,0.631938,8,10
base\CLASS01_020_09.json,0.150407,0.631938,8,11
base\CLASS01_020_09.json,0.0994034,0.622413,8,12
base\CLASS01_020_09.json,0.125035,0.630388,8,13
base\CLASS01_020_09.json,0.134872,0.634738,8,14
base\CLASS01_020_09.json,0.127638,0.634738,8,15
base\CLASS01_020_09.json,0.155815,0.629787,8,16
base\CLASS01_020_09.json,0.112481,0.634738,8,17
base\CLASS01_020_09.json,0.0709977,0.631938,8,18
base\CLASS01_020_09.json,0.105411,0.617888,8,19
base\CLASS01_020_09.json,0.110524,0.634537,8,20
base\CLASS01_020_09.json,0.0730152,0.621938,8,21
base\CLASS01_020_09.json,0.103639,0.624513,8,22
base\CLASS01_020_09.json,0.0848573,0.631938,8,23
