Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS05_020_07.json,0.537239,0.586872,6,8
base\CLASS05_020_07.json,0.17548,0.59342,6,9
base\CLASS05_020_07.json,0.224412,0.560128,6,10
base\CLASS05_020_07.json,0.189691,0.566015,6,11
base\CLASS05_020_07.json,0.135059,0.562669,6,12
base\CLASS05_020_07.json,0.143265,0.568502,6,13
base\CLASS05_020_07.json,0.206072,0.569429,6,14
base\CLASS05_020_07.json,0.219068,0.586562,6,15
base\CLASS05_020_07.json,0.121593,0.584385,6,16
base\CLASS05_020_07.json,0.198205,0.576291,6,17
base\CLASS05_020_07.json,0.188625,0.563333,6,18
base\CLASS05_020_07.json,0.196952,0.562917,6,19
base\CLASS05_020_07.json,0.220431,0.558375,6,20
base\CLASS05_020_07.json,0.165926,0.575465,6,21
base\CLASS05_020_07.json,0.242639,0.575761,6,22
base\CLASS05_020_07.json,0.176273,0.558304,6,23
base\CLASS05_020_07.json,0.22809,0.563921,6,24
base\CLASS05_020_07.json,0.156279,0.544136,6,25
base\CLASS05_020_07.json,0.230507,0.589031,6,26
base\CLASS05_020_07.json,0.181343,0.575063,6,27
base\CLASS05_020_07.json,0.202537,0.563148,6,28
base\CLASS05_020_07.json,0.214554,0.561933,6,29
base\CLASS05_020_09.json,0.23639,0.589233,7,0
base\CLASS05_020_09.json,0.185791,0.588154,7,1
base\CLASS05_020_09.json,0.212636,0.592336,7,2
base\CLASS05_020_09.json,0.287799,0.588822,7,3
base\CLASS05_020_09.json,0.179556,0.593375,7,4
base\CLASS05_020_09.json,0.153807,0.576004,7,5
base\CLASS05_020_09.json,0.339682,0.592333,7,6
base\CLASS05_020_09.json,0.224551,0.586642,7,7
base\CLASS05_020_09.json,0.283817,0.595849,7,8
base\CLASS05_020_09.json,0.150004,0.585638,7,9
base\CLASS05_020_09.json,0.142775,0.586916,7,10
base\CLASS05_020_09.json,0.106763,0.589107,7,11
base\CLASS05_020_09.json,0.184924,0.588867,7,12
base\CLASS05_020_09.json,0.213202,0.591084,7,13
base\CLASS05_020_09.json,0.120199,0.583868,7,14
base\CLASS05_020_09.json,0.244429,0.589236,7,15
base\CLASS05_020_09.json,0.166935,0.522831,7,16
base\CLASS05_020_09.json,0.184175,0.592521,7,17
base\CLASS05_020_09.json,0.128295,0.583496,7,18
base\CLASS05_020_09.json,0.278047,0.594568,7,19
base\CLASS05_020_09.json,0.120897,0.586006,7,20
base\CLASS05_020_09.json,0.230433,0.596454,7,21
base\CLASS05_020_09.json,0.159313,0.593483,7,22
base\CLASS05_020_09.json,0.175426,0.588575,7,23
base\CLASS05_020_09.json,0.119401,0.58976,7,24
base\CLASS05_020_09.json,0.111978,0.597682,7,25
base\CLASS05_020_09.json,0.189473,0.591692,7,26
base\CLASS05_020_09.json,0.173962,0.58976,7,27
base\CLASS05_020_09.json,0.277774,0.593058,7,28
base\CLASS05_020_09.json,0.159173,0.589957,7,29
base\CLASS05_060_01.json,1.00089,0.683617,21,0
base\CLASS05_060_01.json,1.5779,0.681068,21,1
base\CLASS05_060_01.json,2.13313,0.675016,21,2
base\CLASS05_060_01.json,1.24794,0.627106,22,3
base\CLASS05_060_01.json,1.59784,0.672748,21,4
base\CLASS05_060_01.json,2.35992,0.63773,22,5
base\CLASS05_060_01.json,1.14636,0.618121,22,6
base\CLASS05_060_01.json,1.72025,0.633492,22,7
base\CLASS05_060_01.json,1.44612,0.677472,21,8
base\CLASS05_060_01.json,1.19611,0.674038,21,9
base\CLASS05_060_01.json,1.7744,0.679226,21,10
base\CLASS05_060_01.json,2.85211,0.686401,21,11
base\CLASS05_060_01.json,1.5466,0.674876,21,12
base\CLASS05_060_01.json,1.30665,0.669803,21,13
base\CLASS05_060_01.json,1.68828,0.675575,21,14
base\CLASS05_060_01.json,1.81783,0.674897,21,15
base\CLASS05_060_01.json,0.777587,0.676164,21,16
base\CLASS05_060_01.json,1.03349,0.63031,22,17
base\CLASS05_060_01.json,1.36639,0.675202,21,18
